airport_name,airport_abbr,delay_sum,total_number_flights,perc_delay,avg_perc_delay,lat,lng
Jacksonville International Airport,JAX,7823.94,36715.0,0.21309927822415906,0.20823556298332133,30.49407129999999,-81.6879368
Jacksonville/Albert J Ellis Airport,OAJ,694.01,3091.0,0.22452604335166612,0.20823556298332133,34.8291316,-77.60688429999999
Jamestown Regional Airport,JMS,240.01999999999998,1078.0,0.22265306122448977,0.20823556298332133,46.9294312,-98.6790504
John F. Kennedy International Airport,JFK,31010.079999999994,139021.0,0.22306040094661952,0.20823556298332133,40.6413111,-73.77813909999999
John Wayne Airport,SNA,7578.02,44637.0,0.16976992181374198,0.20823556298332133,33.6761901,-117.8674759
Joplin Regional Airport,JLN,297.0,1222.0,0.2430441898527005,0.20823556298332133,37.145412,-94.49285309999999
Juneau International Airport,JNU,666.02,4747.0,0.14030334948388457,0.20823556298332133,58.3579806,-134.5831791
Kahului Airport,OGG,3323.0299999999997,28534.0,0.11645861078012196,0.20823556298332133,20.8967924,-156.4329379
Kalamazoo/Battle Creek International Airport,AZO,502.03,2448.0,0.20507761437908495,0.20823556298332133,42.2355515,-85.5515933
"Kalispell, MT: Glacier Park International",FCA,398.04999999999995,3027.0,0.13149983481995373,0.20823556298332133,48.3076648,-114.2525337
Kansas City International Airport,MCI,11993.889999999998,60120.0,0.1994991683300066,0.20823556298332133,39.2991181,-94.7107786
Kearney Municipal Airport,EAR,139.01,685.0,0.20293430656934305,0.20823556298332133,40.727028,-99.006778
Ketchikan International Airport,KTN,361.02,2576.0,0.1401475155279503,0.20823556298332133,55.3554106,-131.7105604
Key Field Airport,MEI,325.98,1158.0,0.28150259067357514,0.20823556298332133,32.333547,-88.7451526
Key West International Airport,EYW,817.01,5698.0,0.14338539838539838,0.20823556298332133,24.5536707,-81.7549737
Killeen-Fort Hood Regional Airport,GRK,752.01,3582.0,0.20994137353433837,0.20823556298332133,31.0615241,-97.82091799999999
King Salmon Airport,AKN,1.0,61.0,0.01639344262295082,0.20823556298332133,58.67666699999999,-156.649167
Kodiak Airport,ADQ,99.01,691.0,0.1432850940665702,0.20823556298332133,57.7543254,-152.516958
Kona International Airport,KOA,1648.02,16291.0,0.1011613774476705,0.20823556298332133,19.736916,-156.0429246
La Crosse Municipal Airport,LSE,502.96000000000004,2355.0,0.2135711252653928,0.20823556298332133,43.8753591,-91.2634558
La Guardia Airport,LGA,54431.980000000025,185731.0,0.2930689007220121,0.20823556298332133,40.7769271,-73.8739659
Lafayette Regional Airport,LFT,1254.03,5483.0,0.22871238373153382,0.20823556298332133,30.205482,-91.9894188
Lake Charles Regional Airport,LCH,472.99,2113.0,0.22384761003312825,0.20823556298332133,30.1229972,-93.2211183
Lambert-St. Louis International Airport,STL,14960.97,73198.0,0.20439042050329242,0.20823556298332133,38.7499403,-90.374819
Lansing Capital City Airport,LAN,824.0999999999999,3773.0,0.218420355155049,0.20823556298332133,42.7750378,-84.5894539
Laramie Regional Airport,LAR,163.0,675.0,0.2414814814814815,0.20823556298332133,41.3201937,-105.6703447
Laredo International Airport,LRD,580.0,2777.0,0.20885848037450486,0.20823556298332133,27.5447829,-99.4613589
Lawton-Fort Sill Regional Airport,LAW,320.03999999999996,1436.0,0.22286908077994427,0.20823556298332133,34.5726626,-98.4159133
Lea County Regional Airport,HOB,171.99,732.0,0.23495901639344263,0.20823556298332133,32.6923483,-103.214364
Lehigh Valley International Airport,ABE,991.98,5240.0,0.1893091603053435,0.20823556298332133,40.65047209999999,-75.4345979
Lewiston-Nez Perce County Airport,LWS,60.01,997.0,0.060190571715145434,0.20823556298332133,46.3740418,-117.014737
Liberal Municipal Airport,LBL,130.0,673.0,0.19316493313521546,0.20823556298332133,37.0445698,-100.9523051
Lihue Airport,LIH,1499.93,15043.0,0.09970949943495314,0.20823556298332133,21.9788489,-159.3437585
Lincoln Airport,LNK,470.01,2250.0,0.20889333333333332,0.20823556298332133,40.8506586,-96.7581014
Little Rock National Airport,LIT,3158.0300000000007,15025.0,0.21018502495840272,0.20823556298332133,34.7307049,-92.2216531
Long Beach Airport,LGB,2640.0299999999997,16618.0,0.15886568780840052,0.20823556298332133,33.8176974,-118.1523845
Los Angeles International Airport,LAX,46203.03,237975.0,0.19415077213993065,0.20823556298332133,33.9415889,-118.40853
Louisville International Airport,SDF,5430.939999999999,26139.0,0.20777152913271352,0.20823556298332133,38.175662,-85.7369231
Lubbock International Airport,LBB,1753.01,7394.0,0.2370854747092237,0.20823556298332133,33.6565685,-101.8222599
Lynchburg Regional Airport/Preston Glenn Field,LYH,171.01999999999998,894.0,0.19129753914988812,0.20823556298332133,37.3271839,-79.2002065
Macarthur Airport,ISP,1320.99,5759.0,0.22937836429935754,0.20823556298332133,40.78933019999999,-73.097607
Magic Valley Regional Airport,TWF,92.03,1128.0,0.08158687943262412,0.20823556298332133,42.4833496,-114.4847165
Mammoth Yosemite Airport,MMH,208.99,508.0,0.4113976377952756,0.20823556298332133,37.6244629,-118.8388538
Manchester Airport,MHT,1762.99,8845.0,0.19932052006783493,0.20823556298332133,42.929687,-71.4352177
Manhattan Regional Airport,MHK,531.05,2088.0,0.2543342911877394,0.20823556298332133,39.1371223,-96.6699273
"Marquette, MI: Sawyer International",MQT,357.0,1495.0,0.23879598662207357,0.20823556298332133,46.3497439,-87.3873273
Martha's Vineyard Airport,MVY,93.0,585.0,0.15897435897435896,0.20823556298332133,41.388145,-70.613868
Mcallen-Miller International Airport,MFE,1420.03,5763.0,0.2464046503557175,0.20823556298332133,26.1780926,-98.24103629999999
Mccarran International Airport,LAS,33539.94,175983.0,0.19058624980822012,0.20823556298332133,36.0839998,-115.1537389
Mcghee Tyson Airport,TYS,4435.120000000001,18996.0,0.23347652137292066,0.20823556298332133,35.810833,-83.993889
Meadows Field Airport,BFL,578.94,2602.0,0.22249807840122984,0.20823556298332133,35.4329123,-119.056618
