year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,9,DL,Delta Air Lines Inc.,TYS,"Knoxville, TN: McGhee Tyson",119,5,1.31,0.68,1.32,0,1.69,0,0,272,74,43,41,0,114
2019,9,DL,Delta Air Lines Inc.,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",203,12,8.45,0,2,0,1.55,0,0,529,280,0,94,0,155
2019,9,DL,Delta Air Lines Inc.,XNA,"Fayetteville, AR: Northwest Arkansas Regional",30,2,0.1,0.76,0.24,0,0.9,0,0,162,11,39,12,0,100
2019,9,EV,ExpressJet Airlines LLC,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",7,3,1,0,0.37,0,1.63,0,0,460,355,0,16,0,89
2019,9,EV,ExpressJet Airlines LLC,ABQ,"Albuquerque, NM: Albuquerque International Sunport",25,2,1.39,0,0.01,0,0.6,2,0,204,110,0,2,0,92
2019,9,EV,ExpressJet Airlines LLC,AEX,"Alexandria, LA: Alexandria International",85,15,6.97,0,3.19,0,4.84,3,0,1576,1061,0,110,0,405
2019,9,EV,ExpressJet Airlines LLC,AMA,"Amarillo, TX: Rick Husband Amarillo International",89,21,4.73,1.56,7.94,0,6.77,4,0,1088,247,149,266,0,426
2019,9,EV,ExpressJet Airlines LLC,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",61,13,1.99,0.03,4.81,0,6.17,5,0,634,82,2,192,0,358
2019,9,EV,ExpressJet Airlines LLC,AVL,"Asheville, NC: Asheville Regional",,,,,,,,,,,,,,,
2019,9,EV,ExpressJet Airlines LLC,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",55,19,6.88,0,10.36,0,1.76,2,0,1994,853,0,1026,0,115
2019,9,EV,ExpressJet Airlines LLC,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",108,25,9.39,1.56,9.74,0,4.31,5,0,1482,684,120,462,0,216
2019,9,EV,ExpressJet Airlines LLC,BNA,"Nashville, TN: Nashville International",87,26,9.55,0,8.54,0,7.91,2,0,2551,1500,0,390,0,661
2019,9,EV,ExpressJet Airlines LLC,BRO,"Brownsville, TX: Brownsville South Padre Island International",84,17,6.38,1.64,4.14,0,4.83,3,0,818,386,96,121,0,215
2019,9,EV,ExpressJet Airlines LLC,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",193,48,15.33,1.91,13.15,0,17.61,10,0,2942,1223,207,577,0,935
2019,9,EV,ExpressJet Airlines LLC,BTV,"Burlington, VT: Burlington International",80,24,9.23,1.96,5.84,0,6.98,0,0,2171,914,102,721,0,434
2019,9,EV,ExpressJet Airlines LLC,BUF,"Buffalo, NY: Buffalo Niagara International",34,2,2,0,0,0,0,0,0,142,142,0,0,0,0
2019,9,EV,ExpressJet Airlines LLC,CAE,"Columbia, SC: Columbia Metropolitan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,9,EV,ExpressJet Airlines LLC,CAK,"Akron, OH: Akron-Canton Regional",79,26,11.49,1,5.81,0,7.7,1,0,1480,681,29,259,0,511
2019,9,EV,ExpressJet Airlines LLC,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",4,2,0.95,0,0.82,0,0.23,0,0,76,39,0,27,0,10
2019,9,EV,ExpressJet Airlines LLC,CLE,"Cleveland, OH: Cleveland-Hopkins International",416,89,29.85,0,27.95,0,31.2,3,0,8227,3860,0,2287,0,2080
2019,9,EV,ExpressJet Airlines LLC,CLL,"College Station/Bryan, TX: Easterwood Field",83,20,7.44,0.37,4.81,0,7.38,5,0,884,410,53,162,0,259
2019,9,EV,ExpressJet Airlines LLC,CLT,"Charlotte, NC: Charlotte Douglas International",9,4,2.87,0,1.13,0,0,0,0,626,570,0,56,0,0
2019,9,EV,ExpressJet Airlines LLC,CMH,"Columbus, OH: John Glenn Columbus International",103,21,13,0,7,0,1,3,0,1128,591,0,520,0,17
